cgpa,iq,communication_skill,internships,projects,coding_skill,attendance,aptitude_score,logical_reasoning,placement
7.53,136.0,3,1,2,6,72.7,54.8,78.8,1
6.4,86.0,6,1,1,1,61.1,68.2,64.3,0
5.77,108.0,9,1,1,3,65.9,46.8,67.6,0
7.85,110.0,7,1,2,6,85.4,64.4,61.0,1
7.29,118.0,3,0,4,3,75.9,43.1,70.6,0
,106.0,3,1,2,8,,48.3,46.0,1
5.46,108.0,2,0,5,5,70.7,90.6,38.9,0
8.05,100.0,9,2,2,2,66.0,37.6,47.6,0
7.78,108.0,3,0,1,4,70.6,61.8,63.2,0
6.88,100.0,5,0,4,9,81.0,77.4,40.5,0
9.22,112.0,9,1,2,4,57.1,98.3,50.5,1
5.72,100.0,8,1,3,10,94.8,67.7,51.0,1
5.17,109.0,2,2,5,10,81.9,68.5,71.7,0
6.17,104.0,3,1,1,8,68.6,65.6,69.9,0
6.95,118.0,2,1,1,5,84.8,80.9,61.1,0
7.29,104.0,8,2,3,10,89.7,71.5,66.8,1
6.71,83.0,6,1,2,1,71.0,56.4,67.1,0
7.42,120.0,6,0,1,7,72.4,81.7,54.5,0
5.5,94.0,9,1,0,3,92.9,58.1,51.9,1
8.73,97.0,8,2,0,10,100.0,41.0,83.1,1
6.9,97.0,4,1,3,8,75.4,41.1,30.0,0
8.34,121.0,4,1,1,3,61.1,62.0,48.9,0
7.41,80.0,9,0,2,1,69.4,66.5,56.9,1
7.55,140.0,1,0,3,5,87.4,79.3,68.4,1
7.68,117.0,2,1,2,2,62.6,74.6,77.0,0
7.54,107.0,2,1,0,4,72.5,66.2,87.9,0
7.77,104.0,6,0,3,1,78.5,80.2,58.6,0
8.59,108.0,4,3,0,9,63.9,65.2,59.6,1
7.24,111.0,10,2,3,6,,45.6,65.4,1
7.85,112.0,3,1,4,8,83.3,42.4,52.0,1
6.89,111.0,3,2,2,4,99.1,84.2,42.2,1
8.73,106.0,3,0,2,9,84.4,31.3,58.6,1
6.19,102.0,6,1,2,2,63.5,62.0,71.2,0
9.16,103.0,8,1,2,9,81.4,100.0,56.4,1
6.95,102.0,7,2,4,5,86.9,71.9,66.2,1
5.28,118.0,4,2,4,6,87.5,61.9,32.0,0
7.15,112.0,4,1,2,3,65.7,39.7,60.3,0
6.18,80.0,10,3,3,4,64.2,89.3,53.9,1
8.01,112.0,2,0,4,6,61.3,83.2,40.9,1
6.22,107.0,1,2,5,7,94.3,,69.9,1
6.46,104.0,9,3,2,1,82.5,,87.7,1
4.73,100.0,2,0,2,7,65.1,73.6,74.8,0
6.46,118.0,8,2,2,1,76.5,62.8,75.8,0
4.09,116.0,9,0,4,5,73.5,50.4,70.7,0
5.1,95.0,4,1,1,6,63.3,79.3,69.7,1
7.91,109.0,8,1,3,2,75.4,64.2,33.0,1
7.94,93.0,9,1,2,10,77.3,72.8,58.1,1
7.51,88.0,10,3,2,9,98.2,63.2,67.6,1
5.84,97.0,10,2,2,10,67.1,71.9,68.0,1
6.94,115.0,5,1,6,6,54.5,64.8,79.1,1
7.0,116.0,7,2,1,7,62.4,63.6,44.5,1
5.61,111.0,10,3,3,10,64.3,65.4,69.1,1
8.8,113.0,4,0,1,8,69.9,100.0,44.0,0
8.05,111.0,1,3,1,10,62.4,77.0,56.8,1
6.73,97.0,3,0,2,1,84.9,100.0,59.1,0
,110.0,5,2,2,8,61.6,64.9,72.9,1
7.25,114.0,3,1,2,4,75.2,60.4,71.2,1
4.55,114.0,7,0,2,10,99.0,48.9,61.8,0
6.7,119.0,9,1,1,8,81.6,89.0,30.0,1
6.18,113.0,6,1,2,6,80.4,51.4,66.7,0
5.8,109.0,10,1,5,9,97.3,92.1,56.0,1
6.66,117.0,1,0,4,4,89.9,49.8,80.9,0
9.16,,7,1,2,2,81.8,78.3,77.3,1
7.77,94.0,3,2,3,2,71.3,41.1,45.9,1
6.31,103.0,5,1,4,5,74.7,58.4,68.7,1
7.69,96.0,10,0,0,10,74.1,65.3,69.0,1
7.65,,7,1,3,1,83.2,77.5,75.3,1
8.18,92.0,2,1,2,3,78.8,57.0,80.1,0
4.79,103.0,3,2,1,3,71.3,47.2,56.5,0
6.31,120.0,6,1,2,3,84.5,34.8,66.0,1
5.65,111.0,8,2,2,2,64.4,38.4,69.9,1
